id,sku,product_name,quantity,last_scanned,status
1,SKU001,Widget A,50,2025-08-05 14:23:45,IN
2,SKU002,Gadget B,20,2025-08-04 09:12:30,OUT
3,SKU003,Widget C,75,2025-08-06 08:15:00,IN
4,SKU004,Tool D,0,2025-08-03 11:45:20,OUT
5,SKU005,Gizmo E,10,2025-08-01 17:33:12,IN
6,SKU006,Device F,200,2025-08-05 12:45:55,IN
7,SKU007,Part G,5,2025-07-31 10:05:42,OUT
8,SKU008,Accessory H,0,2025-08-06 07:59:01,OUT
9,SKU009,Unit I,35,2025-08-02 16:22:19,IN
10,SKU010,Machine J,100,2025-08-05 19:01:43,IN
11,SKU011,Gadget K,42,2025-08-03 14:22:50,IN
12,SKU012,Widget L,0,2025-08-01 09:00:00,OUT
13,SKU013,Tool M,89,2025-08-06 08:20:35,IN
14,SKU014,Device N,18,2025-08-02 20:14:55,OUT
15,SKU015,Gizmo O,60,2025-08-04 15:15:15,IN
16,SKU016,Accessory P,0,2025-08-06 06:45:30,OUT
17,SKU017,Part Q,250,2025-08-05 18:10:10,IN
18,SKU018,Unit R,0,2025-08-03 10:05:05,OUT
19,SKU019,Machine S,39,2025-08-02 13:33:33,IN
20,SKU020,Widget T,12,2025-08-06 08:30:00,IN
